,id,project_code,pq_num,po_so_num,asndn_num,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,moleculetest_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,po_sent_to_vendor_date_year,scheduled_delivery_date_year,delivered_to_client_date_year,delivery_recorded_date_year,pq_first_sent_to_client_date_year,moleculetest_type_processed,cluster_labels,active_ingredients,description_type,manufacturing_location,manufacturers,days_init_client_vendor,days_vendor_deliver_planned,days_vendor_deliver_actual,delivery_delay,recorded_date_lag,days_from__arrival,days_from_vendor_arrival
2850,15795,116-ZA-T30,FPQ-14942,SCMS-259071,ASN-29597,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2014-11-28,2014-11-28,2014-11-28,2014-11-28,ARV,Adult,PHARMACY DIRECT,Zidovudine,Generic,300mg,Tablet,60,12,216.37,18.03,0.3,"Aurobindo Unit III, India",False,1047.0,0.0,0.22,2014.0,2014,2014,2014,2014.0,zidovudine,6,Zidovudine,,"Telangana, IN",Aurobindo,78.0,0.0,0.0,0.0,0.0,78.0,0.0
2852,15813,111-MZ-T30,FPQ-13395,SCMS-219220,ASN-25454,Mozambique,PMO - US,Direct Drop,EXW,Air,2013-12-11,2013-12-17,2014-05-02,2014-05-02,2014-05-07,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,23040,186854.4,8.11,0.14,Hetero Unit III Hyderabad IN,True,3138.0,16537.12,192.09,2013.0,2014,2014,2014,2013.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Hyderabad, IN",Hetero,6.0,136.0,136.0,0.0,5.0,142.0,136.0
2860,15946,117-ET-T30,FPQ-5582,SCMS-72390,ASN-9567,Ethiopia,PMO - US,Direct Drop,EXW,Air,2010-04-28,2010-04-29,2011-02-14,2011-02-14,2011-02-14,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,250mg,Delayed-release capsules,30,2600,33800.0,13.0,0.43,"Aurobindo Unit III, India",True,236.0,1131.48,72.87,2010.0,2011,2011,2011,2010.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,1.0,291.0,291.0,0.0,0.0,292.0,291.0
2865,16053,108-VN-T30,FPQ-13034,SCMS-210120,ASN-24394,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-10-04,2013-10-10,2014-04-23,2014-04-23,2014-04-23,ARV,Adult,HETERO LABS LIMITED,Lamivudine,Generic,150mg,Tablet,60,14011,25920.35,1.85,0.03,Hetero Unit III Hyderabad IN,True,1953.0,3658.08,32.06,2013.0,2014,2014,2014,2013.0,lamivudine,0,Lamivudine,,"Hyderabad, IN",Hetero,6.0,195.0,195.0,0.0,0.0,201.0,195.0
2867,16084,116-ZA-T30,FPQ-14942,SCMS-259074,ASN-31070,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2015-03-09,2015-03-09,2015-03-09,2015-03-09,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,250mg,Delayed-release capsules,30,1,11.02,11.02,0.37,"Aurobindo Unit III, India",False,1047.0,0.0,0.01,2015.0,2015,2015,2015,2014.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,179.0,0.0,0.0,0.0,0.0,179.0,0.0
2870,16098,106-HT-T30,FPQ-15038,SCMS-262840,ASN-31820,Haiti,PMO - US,Direct Drop,EXW,Ocean,2014-10-22,2014-12-24,2015-07-03,2015-07-03,2015-07-13,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Abacavir/Lamivudine,Generic,60/30mg,Tablet - FDC,60,3300,13035.0,3.95,0.07,Mylan (formerly Matrix) Nashik,True,16350.0,16028.78,13.4,2014.0,2015,2015,2015,2014.0,abacavir lamivudine,5,Abacavir/Lamivudine,,"Nashik, IN",Mylan,63.0,191.0,191.0,0.0,10.0,254.0,191.0
2871,16099,161-ZA-T30,FPQ-6262,SCMS-83790,ASN-10250,South Africa,PMO - US,Direct Drop,DDP,Ocean,2010-08-31,2010-09-24,2011-02-01,2011-05-03,2011-05-03,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,200mg,Capsule,90,1515,15119.7,9.98,0.11,"Aurobindo Unit III, India",True,201.0,4134.92,32.6,2010.0,2011,2011,2011,2010.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,24.0,130.0,221.0,91.0,0.0,245.0,221.0
2872,16104,117-ET-T30,FPQ-6976,SCMS-98320,ASN-12361,Ethiopia,PMO - US,Direct Drop,EXW,Air,2011-01-13,2011-02-01,2011-10-31,2011-10-31,2011-10-31,ARV,Adult,Aurobindo Pharma Limited,Didanosine,Generic,400mg,Delayed-release capsules,30,2225,44500.0,20.0,0.67,"Aurobindo Unit III, India",True,174.0,2052.97,73.42,2011.0,2011,2011,2011,2011.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,19.0,272.0,272.0,0.0,0.0,291.0,272.0
2873,16173,109-TZ-T30,FPQ-7992,SCMS-117230,ASN-13952,Tanzania,PMO - US,Direct Drop,FCA,Air,2011-07-08,2011-08-04,2012-03-29,2012-03-29,2012-03-29,ARV,Pediatric,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),Didanosine,Videx,100mg,Chewable/dispersible tablet,60,4132,52683.0,12.75,0.21,Bristol-Myers Squibb Anagni IT,True,1598.0,12689.71,86.93,2011.0,2012,2012,2012,2011.0,didanosine,9,Didanosine,,"Anagni, IT",Bristol-Myers Squibb,27.0,238.0,238.0,0.0,0.0,265.0,238.0
2874,16186,108-VN-T30,FPQ-10811,SCMS-164660,ASN-18971,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-10-15,2012-11-07,2013-05-16,2013-05-16,2013-05-16,ARV,Adult,STRIDES ARCOLAB LIMITED,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,21858,184044.36,8.42,0.14,"Strides, Bangalore, India.",True,2777.0,4461.72,227.66,2012.0,2013,2013,2013,2012.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Bangalore, IN",Strides,23.0,190.0,190.0,0.0,0.0,213.0,190.0
2877,16232,106-HT-T30,FPQ-9066,SCMS-138580,ASN-14408,Haiti,PMO - US,Direct Drop,EXW,Air,2012-01-06,2012-02-24,2012-04-22,2012-04-22,2012-04-22,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2894,3617.5,1.25,0.04,"Aurobindo Unit III, India",True,1486.0,12749.39,5.07,2012.0,2012,2012,2012,2012.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,49.0,58.0,58.0,0.0,0.0,107.0,58.0
2881,16766,107-RW-T30,FPQ-3859,SCMS-48840,ASN-5452,Rwanda,PMO - US,Direct Drop,CIP,Air,2009-06-30,2009-07-16,2009-11-23,2009-11-23,2009-11-23,ARV,Adult,HETERO LABS LIMITED,Nevirapine,Generic,200mg,Tablet,60,29925,92468.25,3.09,0.05,Hetero Unit III Hyderabad IN,True,1041.0,730.82,181.24,2009.0,2009,2009,2009,2009.0,nevirapine,1,Nevirapine,,"Hyderabad, IN",Hetero,16.0,130.0,130.0,0.0,0.0,146.0,130.0
2883,16379,116-ZA-T30,FPQ-14942,SCMS-259077,ASN-33478,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2014-10-09,2015-07-24,2015-07-24,2015-07-24,ARV,Adult,PHARMACY DIRECT,Etravirine,Intelence,100mg,Tablet,120,27,742.84,27.51,0.23,"Janssen-Cilag, Latina, IT",True,1047.0,0.0,0.76,2014.0,2015,2015,2015,2014.0,etravirine,9,Etravirine,,"Latina, IT",Janssen-Cilag,28.0,288.0,288.0,0.0,0.0,316.0,288.0
2889,16504,161-ZA-T30,FPQ-7175,SCMS-104100,ASN-13291,South Africa,PMO - US,Direct Drop,DDP,Ocean,2011-03-10,2011-03-28,2012-01-12,2012-01-27,2012-01-27,ARV,Adult,CIPLA LIMITED,Nevirapine,Generic,200mg,Tablet,60,37870,103006.4,2.72,0.05,"Cipla, Goa, India",True,4121.0,4957.81,169.96,2011.0,2012,2012,2012,2011.0,nevirapine,1,Nevirapine,,"Goa, IN",Cipla,18.0,290.0,305.0,15.0,0.0,323.0,305.0
2890,16513,106-HT-T30,FPQ-12590,SCMS-210541,ASN-24373,Haiti,PMO - US,Direct Drop,EXW,Ocean,2013-08-21,2014-02-03,2014-05-09,2014-05-09,2014-05-12,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,889,3200.4,3.6,0.06,Mylan (formerly Matrix) Nashik,True,94.0,2350.55,3.96,2014.0,2014,2014,2014,2013.0,lamivudine nevirapine zidovudine,3,Lamivudine/Nevirapine/Zidovudine,,"Nashik, IN",Mylan,166.0,95.0,95.0,0.0,3.0,261.0,95.0
2892,16556,107-RW-T30,FPQ-8741,SCMS-129500,ASN-15286,Rwanda,PMO - US,Direct Drop,EXW,Air,2011-11-30,2012-03-14,2012-06-29,2012-06-29,2012-06-29,ARV,Adult,CIPLA LIMITED,Lopinavir/Ritonavir,Generic,200/50mg,Tablet,120,2074,74746.96,36.04,0.3,Cipla Ltd A-42 MIDC Mahar. IN,True,627.0,6072.8,104.8,2012.0,2012,2012,2012,2011.0,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Maharashtra, IN",Cipla,105.0,107.0,107.0,0.0,0.0,212.0,107.0
2893,16619,110-ZM-T30,FPQ-13084,SCMS-211070,ASN-23340,Zambia,PMO - US,Direct Drop,EXW,Air,2013-10-11,2013-10-21,2013-12-23,2013-12-23,2014-04-09,ARV,Adult,Aurobindo Pharma Limited,Lamivudine,Generic,150mg,Tablet,60,20000,43000.0,2.15,0.04,"Aurobindo Unit III, India",True,1044.0,5145.69,44.2,2013.0,2013,2013,2014,2013.0,lamivudine,0,Lamivudine,,"Telangana, IN",Aurobindo,10.0,63.0,63.0,0.0,107.0,73.0,63.0
2897,16708,110-ZM-T30,FPQ-11979,SCMS-188801,ASN-21568,Zambia,PMO - US,Direct Drop,EXW,Air,2013-04-19,2013-07-10,2013-10-17,2013-10-17,2013-11-06,ARV,Adult,Aurobindo Pharma Limited,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,11811,69684.9,5.9,0.2,"Aurobindo Unit III, India",True,1184.0,5904.94,86.2,2013.0,2013,2013,2013,2013.0,emtricitabine tenofovir disoproxil fumarate,7,Emtricitabine/Tenofovir Disoproxil Fumarate,,"Telangana, IN",Aurobindo,82.0,99.0,99.0,0.0,20.0,181.0,99.0
2898,16725,108-VN-T30,FPQ-9577,SCMS-145520,ASN-15795,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-04-11,2012-06-12,2012-08-22,2012-08-22,2012-08-22,ARV,Pediatric,Aurobindo Pharma Limited,Efavirenz,Generic,50mg,Capsule,30,3000,6720.0,2.24,0.07,"Aurobindo Unit III, India",True,436.0,1238.16,9.42,2012.0,2012,2012,2012,2012.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,62.0,71.0,71.0,0.0,0.0,133.0,71.0
2899,16784,108-VN-T30,FPQ-11417,SCMS-174390,ASN-18903,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-01-10,2013-01-22,2013-04-25,2013-04-25,2013-04-25,ARV,Adult,HETERO LABS LIMITED,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,34640,122972.0,3.55,0.12,Hetero Unit III Hyderabad IN,True,2804.0,9759.55,152.12,2013.0,2013,2013,2013,2013.0,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Hyderabad, IN",Hetero,12.0,93.0,93.0,0.0,0.0,105.0,93.0
2902,16828,108-VN-T30,FPQ-4720,SCMS-62460,ASN-6355,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-01-04,2010-01-12,2010-03-29,2010-03-29,2010-03-29,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Abacavir,Generic,300mg,Tablet,60,100,1750.0,17.5,0.29,Mylan (formerly Matrix) Nashik,True,2128.0,7784.92,3.77,2010.0,2010,2010,2010,2009.0,abacavir,5,Abacavir,,"Nashik, IN",Mylan,373.0,76.0,76.0,0.0,0.0,449.0,76.0
2905,16901,108-VN-T30,FPQ-8428,SCMS-123600,ASN-13410,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-09-21,2011-10-04,2012-02-18,2012-02-18,2012-02-18,ARV,Adult,Aurobindo Pharma Limited,Abacavir,Generic,300mg,Tablet,60,112,1618.4,14.45,0.24,"Aurobindo Unit III, India",True,1701.0,4288.83,2.67,2011.0,2012,2012,2012,2011.0,abacavir,5,Abacavir,,"Telangana, IN",Aurobindo,13.0,137.0,137.0,0.0,0.0,150.0,137.0
2906,16921,108-VN-T30,FPQ-4720,SCMS-62460,ASN-6355,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-01-04,2010-01-12,2010-03-29,2010-03-29,2010-03-29,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Efavirenz,Generic,600mg,Tablet,30,11592,52048.08,4.49,0.15,Mylan (formerly Matrix) Nashik,False,1047.0,7784.92,112.22,2010.0,2010,2010,2010,2009.0,efavirenz,2,Efavirenz,,"Nashik, IN",Mylan,373.0,76.0,76.0,0.0,0.0,449.0,76.0
2908,16926,116-ZA-T30,FPQ-15269,SCMS-267020,ASN-29764,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-10-29,2014-12-10,2014-12-10,2014-12-10,2014-12-10,ARV,Adult,S. BUYS WHOLESALER,Nevirapine,Generic,200mg,Tablet,60,143,2313.12,16.18,0.27,"Cipla, Goa, India",True,1047.0,0.0,2.72,2014.0,2014,2014,2014,2014.0,nevirapine,1,Nevirapine,,"Goa, IN",Cipla,42.0,0.0,0.0,0.0,0.0,42.0,0.0
2909,16967,108-VN-T30,FPQ-12539,SCMS-199710,ASN-23182,Vietnam,PMO - US,Direct Drop,FCA,Air,2013-07-11,2013-07-30,2014-01-08,2014-01-08,2014-01-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,30,319,7419.94,23.26,0.78,ABBVIE Ludwigshafen Germany,True,1736.0,5265.22,9.18,2013.0,2014,2014,2014,2013.0,ritonavir,8,Ritonavir,,"Ludwigshafen, DE",Abbvie,19.0,162.0,162.0,0.0,0.0,181.0,162.0
2910,16998,109-TZ-T30,FPQ-5900,SCMS-76980,ASN-7444,Tanzania,PMO - US,Direct Drop,EXW,Air,2010-06-21,2010-06-24,2010-08-07,2010-08-09,2010-08-09,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,60,28663,74523.8,2.6,0.04,"Aurobindo Unit III, India",True,3380.0,17603.58,160.67,2010.0,2010,2010,2010,2010.0,nevirapine,1,Nevirapine,,"Telangana, IN",Aurobindo,3.0,44.0,46.0,2.0,0.0,49.0,46.0
2911,17003,111-MZ-T30,FPQ-13134,SCMS-215580,ASN-24545,Mozambique,PMO - US,Direct Drop,FCA,Air,2013-11-12,2013-11-26,2014-03-07,2014-03-07,2014-03-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Ritonavir,Norvir,100mg,Tablet,60,120,822.0,6.85,0.11,ABBVIE Ludwigshafen Germany,True,22.0,828.76,0.85,2013.0,2014,2014,2014,2013.0,ritonavir,8,Ritonavir,,"Ludwigshafen, DE",Abbvie,14.0,101.0,101.0,0.0,8.0,115.0,101.0
2916,17135,109-TZ-T30,FPQ-12197,SCMS-189360,ASN-21230,Tanzania,PMO - US,Direct Drop,EXW,Air,2013-04-30,2013-05-29,2013-09-17,2013-09-13,2013-09-13,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2,  Complete HIV Kit",Determine,,Test kit,100,3053,0.0,0.0,0.0,"Alere Medical Co., Ltd.",True,1265.0,21384.75,0.0,2013.0,2013,2013,2013,2013.0,hiv 1 2 determine complete hiv kit,4,HIV 1/2,Complete HIV Kit,"Massachusetts, US",Alere Medical,29.0,111.0,107.0,-4.0,0.0,136.0,107.0
2918,17200,106-HT-T30,FPQ-12538,SCMS-198140,ASN-21069,Haiti,PMO - US,Direct Drop,EXW,Air,2013-06-25,2013-07-22,2013-08-30,2013-08-30,2013-08-30,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,5000,100000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,True,670.0,4909.72,123.7,2013.0,2013,2013,2013,2013.0,atazanavir ritonavir,9,Atazanavir/Ritonavir,,"Nashik, IN",Mylan,27.0,39.0,39.0,0.0,0.0,66.0,39.0
2921,17228,108-VN-T30,FPQ-4265,SCMS-56300,ASN-6250,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-10-20,2009-11-03,2010-03-20,2010-03-20,2010-03-20,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Zidovudine,Generic,300mg,Tablet,60,336,2520.0,7.5,0.12,Mylan (formerly Matrix) Nashik,True,120.0,9013.85,4.94,2009.0,2010,2010,2010,2009.0,zidovudine,6,Zidovudine,,"Nashik, IN",Mylan,14.0,137.0,137.0,0.0,0.0,151.0,137.0
2925,17259,109-TZ-T30,FPQ-6795,SCMS-103290,ASN-10811,Tanzania,PMO - US,Direct Drop,FCA,Air,2011-01-27,2011-04-14,2011-06-27,2011-06-27,2011-06-27,ARV,Adult,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,2098,38477.32,18.34,0.61,Bristol-Myers Squibb Anagni IT,True,140.0,1870.73,63.49,2011.0,2011,2011,2011,2011.0,didanosine ec,9,Didanosine EC,,"Anagni, IT",Bristol-Myers Squibb,77.0,74.0,74.0,0.0,0.0,151.0,74.0
2926,17348,116-ZA-T30,FPQ-5535,SCMS-71370,ASN-7373,South Africa,PMO - US,Direct Drop,DDP,Truck,2010-04-19,2010-04-21,2010-05-31,2010-05-31,2010-05-31,ARV,Pediatric,S. BUYS WHOLESALER,Efavirenz,Generic,50mg,Capsule,30,300,1046.28,3.49,0.12,"Aurobindo Unit III, India",True,1047.0,0.0,2.26,2010.0,2010,2010,2010,2010.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,2.0,40.0,40.0,0.0,0.0,42.0,40.0
2929,17373,111-MZ-T30,FPQ-4740,SCMS-62340,ASN-7341,Mozambique,PMO - US,Direct Drop,CIP,Air,2009-12-23,2010-01-29,2010-06-23,2010-06-23,2010-06-23,ARV,Adult,INTERNATIONAL HEALTHCARE DISTRIBUTORS,Ritonavir,Norvir,100mg,Capsule,84,320,3312.0,10.35,0.12,ABBVIE (Abbott) Logis. UK,True,1047.0,0.0,7.14,2010.0,2010,2010,2010,2009.0,ritonavir,8,Ritonavir,,GB,Abbvie,37.0,145.0,145.0,0.0,0.0,182.0,145.0
2930,17447,104-CI-T30,FPQ-12714,SCMS-204990,ASN-22828,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,2013-07-30,2013-09-02,2013-11-29,2013-11-29,2013-12-02,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,7850,46629.0,5.94,0.1,ABBVIE Ludwigshafen Germany,True,909.0,6020.53,57.68,2013.0,2013,2013,2013,2013.0,lopinavir ritonavir,8,Lopinavir/Ritonavir,,"Ludwigshafen, DE",Abbvie,34.0,88.0,88.0,0.0,3.0,122.0,88.0
2931,17501,108-VN-T30,FPQ-12051,SCMS-188700,ASN-21668,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-03,2013-05-15,2013-09-25,2013-09-25,2013-09-25,ARV,Adult,HETERO LABS LIMITED,Abacavir,Generic,300mg,Tablet,60,771,9444.75,12.25,0.2,Hetero Unit III Hyderabad IN,True,136.0,678.96,11.68,2013.0,2013,2013,2013,2013.0,abacavir,5,Abacavir,,"Hyderabad, IN",Hetero,12.0,133.0,133.0,0.0,0.0,145.0,133.0
2935,17660,116-ZA-T30,FPQ-14942,SCMS-259078,ASN-33470,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2014-10-09,2015-07-24,2015-07-24,2015-07-24,ARV,Adult,PHARMACY DIRECT,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,12,281.25,23.44,0.78,"Aurobindo Unit III, India",True,1047.0,0.0,0.29,2014.0,2015,2015,2015,2014.0,emtricitabine tenofovir disoproxil fumarate,7,Emtricitabine/Tenofovir Disoproxil Fumarate,,"Telangana, IN",Aurobindo,28.0,288.0,288.0,0.0,0.0,316.0,288.0
2936,17697,108-VN-T30,FPQ-6384,SCMS-87770,ASN-9407,Vietnam,PMO - US,Direct Drop,EXW,Air,2010-09-30,2010-10-18,2011-02-09,2011-02-09,2011-02-09,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,19760,94848.0,4.8,0.08,Hetero Unit III Hyderabad IN,True,3998.0,12974.12,204.49,2010.0,2011,2011,2011,2010.0,lamivudine nevirapine stavudine,9,Lamivudine/Nevirapine/Stavudine,,"Hyderabad, IN",Hetero,18.0,114.0,114.0,0.0,0.0,132.0,114.0
2938,17717,105-GY-T30,FPQ-15696,SCMS-276200,ASN-31730,Guyana,PMO - US,Direct Drop,EXW,Air,2015-01-02,2015-02-12,2015-06-16,2015-06-16,2015-06-24,ARV,Adult,HETERO LABS LIMITED,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,3715,20766.85,5.59,0.19,Hetero Unit III Hyderabad IN,True,385.0,3248.6,24.44,2015.0,2015,2015,2015,2015.0,emtricitabine tenofovir disoproxil fumarate,7,Emtricitabine/Tenofovir Disoproxil Fumarate,,"Hyderabad, IN",Hetero,41.0,124.0,124.0,0.0,8.0,165.0,124.0
2939,17764,116-ZA-T30,FPQ-12522,SCMS-199283,ASN-27978,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,2014-08-27,2014-08-27,2014-08-27,2014-08-27,ARV,Adult,S. BUYS WHOLESALER,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,46,1517.44,32.99,0.55,Hetero Unit III Hyderabad IN,False,1047.0,0.0,1.88,2014.0,2014,2014,2014,2013.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Hyderabad, IN",Hetero,412.0,0.0,0.0,0.0,0.0,412.0,0.0
2945,17844,116-ZA-T30,FPQ-14942,SCMS-259075,ASN-32138,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2015-05-11,2015-05-12,2015-05-12,2015-05-12,ARV,Adult,PHARMACY DIRECT,Didanosine,Generic,400mg,Delayed-release capsules,30,3,42.65,14.22,0.47,"Aurobindo Unit III, India",False,1047.0,0.0,0.04,2015.0,2015,2015,2015,2014.0,didanosine,9,Didanosine,,"Telangana, IN",Aurobindo,242.0,1.0,1.0,0.0,0.0,243.0,1.0
2946,17861,108-VN-T30,FPQ-4720,SCMS-62490,ASN-6190,Vietnam,PMO - US,Direct Drop,EXW,Air,2009-01-04,2010-01-12,2010-03-15,2010-03-15,2010-03-15,ARV,Adult,CIPLA LIMITED,Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,19920,114340.8,5.74,0.1,"Cipla, Goa, India",True,1936.0,5314.56,246.52,2010.0,2010,2010,2010,2009.0,lamivudine nevirapine stavudine,9,Lamivudine/Nevirapine/Stavudine,,"Goa, IN",Cipla,373.0,62.0,62.0,0.0,0.0,435.0,62.0
2949,17900,901-NA-T30,FPQ-14689,SCMS-253440,ASN-29097,Namibia,PMO - US,Direct Drop,EXW,Air,2014-07-30,2014-08-29,2014-11-19,2014-11-19,2014-11-19,ARV,Adult,HETERO LABS LIMITED,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,26663,176242.43,6.61,0.11,"Hetero, Jadcherla, unit 5, IN",True,4233.0,26663.64,181.18,2014.0,2014,2014,2014,2014.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Hetero,30.0,82.0,82.0,0.0,0.0,112.0,82.0
2950,17924,116-ZA-T30,FPQ-12522,SCMS-199283,ASN-27979,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,2014-08-27,2014-08-27,2014-08-27,2014-08-27,ARV,Adult,S. BUYS WHOLESALER,Efavirenz,Generic,600mg,Tablet,30,143,2391.83,16.73,0.56,Hetero Unit III Hyderabad IN,False,1047.0,0.0,2.96,2014.0,2014,2014,2014,2013.0,efavirenz,2,Efavirenz,,"Hyderabad, IN",Hetero,412.0,0.0,0.0,0.0,0.0,412.0,0.0
2956,18099,116-ZA-T30,FPQ-13973,SCMS-238553,ASN-28021,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-04-30,2014-08-28,2014-08-28,2014-08-28,2014-08-28,ARV,Pediatric,PHARMACY DIRECT,Efavirenz,Generic,50mg,Capsule,30,39,117.24,3.01,0.1,"Aurobindo Unit III, India",True,1047.0,0.0,0.12,2014.0,2014,2014,2014,2014.0,efavirenz,2,Efavirenz,,"Telangana, IN",Aurobindo,120.0,0.0,0.0,0.0,0.0,120.0,0.0
2957,18121,116-ZA-T30,FPQ-12522,SCMS-199289,ASN-28037,South Africa,PMO - US,Direct Drop,DDP,Truck,2013-07-11,2014-08-29,2014-08-29,2014-08-29,2014-08-29,ARV,Adult,S. BUYS WHOLESALER,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,206,4365.52,21.19,0.71,"Aurobindo Unit III, India",True,1047.0,0.0,5.4,2014.0,2014,2014,2014,2013.0,tenofovir disoproxil fumarate,7,Tenofovir Disoproxil Fumarate,,"Telangana, IN",Aurobindo,414.0,0.0,0.0,0.0,0.0,414.0,0.0
2960,18182,116-ZA-T30,FPQ-14942,SCMS-259073,ASN-30671,South Africa,PMO - US,Direct Drop,DDP,Truck,2014-09-11,2015-02-12,2015-02-12,2015-02-12,2015-02-12,ARV,Adult,PHARMACY DIRECT,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,19,407.56,21.45,0.36,"Aurobindo Unit III, India",True,1047.0,0.0,0.42,2015.0,2015,2015,2015,2014.0,lamivudine zidovudine,6,Lamivudine/Zidovudine,,"Telangana, IN",Aurobindo,154.0,0.0,0.0,0.0,0.0,154.0,0.0
2961,18227,108-VN-T30,FPQ-7565,SCMS-108100,ASN-11579,Vietnam,PMO - US,Direct Drop,EXW,Air,2011-04-21,2011-05-02,2011-08-11,2011-08-11,2011-08-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Nevirapine,Generic,200mg,Tablet,60,25000,65000.0,2.6,0.04,Mylan (formerly Matrix) Nashik,True,3098.0,12745.06,107.25,2011.0,2011,2011,2011,2011.0,nevirapine,1,Nevirapine,,"Nashik, IN",Mylan,11.0,101.0,101.0,0.0,0.0,112.0,101.0
